dataset,eval_type,model,summary_path,action_f1,action_precision,action_recall,all_f1,all_precision,all_recall,edge_f1,edge_precision,edge_recall,goal_evaluation.action_goal,goal_evaluation.relation_goal,goal_evaluation.state_goal,goal_evaluation.task_success_rate,goal_evaluation.total_goal,node_f1,node_precision,node_recall,trajectory_evaluation.execution_success_rate,trajectory_evaluation.grammar_error.hallucination,trajectory_evaluation.grammar_error.parsing,trajectory_evaluation.grammar_error.predicate_argument_number,trajectory_evaluation.runtime_error.additional_step,trajectory_evaluation.runtime_error.affordance_error,trajectory_evaluation.runtime_error.missing_step,trajectory_evaluation.runtime_error.wrong_order
virtualhome,goal_interpretation,claude-3-5-sonnet-20240620,output/virtualhome/evaluate_results/goal_interpretation/claude-3-5-sonnet-20240620/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,
virtualhome,goal_interpretation,claude-3-haiku-20240307,output/virtualhome/evaluate_results/goal_interpretation/claude-3-haiku-20240307/summary.json,21.5837,12.1643,95.6522,28.079,18.0293,63.4422,33.0435,24.3981,51.1785,,,,,,31.84,21.8202,58.8757,,,,,,,,
virtualhome,goal_interpretation,claude-3-opus-20240229,output/virtualhome/evaluate_results/goal_interpretation/claude-3-opus-20240229/summary.json,25.1256,14.5349,92.5926,31.4683,20.7501,65.0895,30.6805,22.735,47.1631,,,,,,38.5009,27.0335,66.8639,,,,,,,,
virtualhome,goal_interpretation,claude-3-sonnet-2024022,output/virtualhome/evaluate_results/goal_interpretation/claude-3-sonnet-2024022/summary.json,21.7018,12.4218,85.8025,29.417,19.332,61.5,35.6902,26.8128,53.3557,,,,,,33.0776,23.2893,57.0588,,,,,,,,
virtualhome,goal_interpretation,cohere-command-r,output/virtualhome/evaluate_results/goal_interpretation/cohere-command-r/summary.json,6.5421,3.5714,38.8889,36.6883,27.3608,55.665,26.3158,34.4828,21.2766,,,,,,58.8957,51.0638,69.5652,,,,,,,,
virtualhome,goal_interpretation,cohere-command-r-plus,output/virtualhome/evaluate_results/goal_interpretation/cohere-command-r-plus/summary.json,18.5237,10.4314,82.6087,22.3567,14.9298,44.4867,16.7883,18.3267,15.4882,,,,,,29.7578,20.8485,51.9637,,,,,,,,
virtualhome,goal_interpretation,gemini-1.0-pro,output/virtualhome/evaluate_results/goal_interpretation/gemini-1.0-pro/summary.json,17.2279,9.8655,67.9012,23.9181,16.2551,45.25,19.5783,17.7596,21.8121,,,,,,34.4383,25.067,55.0,,,,,,,,
virtualhome,goal_interpretation,gemini-1.5-flash-preview-0514,output/virtualhome/evaluate_results/goal_interpretation/gemini-1.5-flash-preview-0514/summary.json,23.4538,13.4811,90.1235,26.7457,18.1574,50.75,20.4545,19.8113,21.1409,,,,,,33.5319,23.5928,57.9412,,,,,,,,
virtualhome,goal_interpretation,gemini-1.5-pro-preview-0409,output/virtualhome/evaluate_results/goal_interpretation/gemini-1.5-pro-preview-0409/summary.json,37.1889,24.0987,81.4103,36.2242,33.5886,39.3086,12.3529,42.0,7.2414,,,,,,47.3214,47.181,47.4627,,,,,,,,
virtualhome,goal_interpretation,gpt-3.5-turbo-0125,output/virtualhome/evaluate_results/goal_interpretation/gpt-3.5-turbo-0125/summary.json,24.3478,15.2411,60.4938,22.6653,15.7358,40.5,11.7277,8.5236,18.7919,,,,,,30.9372,22.3979,50.0,,,,,,,,
virtualhome,goal_interpretation,gpt-4-turbo-2024-04-09,output/virtualhome/evaluate_results/goal_interpretation/gpt-4-turbo-2024-04-09/summary.json,30.8943,19.0272,82.0988,33.2433,24.0379,53.875,28.4892,24.937,33.2215,,,,,,38.3799,28.5509,58.5294,,,,,,,,
virtualhome,goal_interpretation,gpt-4o-2024-05-13,output/virtualhome/evaluate_results/goal_interpretation/gpt-4o-2024-05-13/summary.json,33.0952,20.5015,85.8025,36.5318,26.4067,59.25,36.8495,31.7191,43.9597,,,,,,39.0805,28.9773,60.0,,,,,,,,
virtualhome,goal_interpretation,llama-3-70b-chat,output/virtualhome/evaluate_results/goal_interpretation/llama-3-70b-chat/summary.json,19.8198,11.1544,88.8199,26.8449,17.4669,57.9674,28.2084,22.6069,37.5,,,,,,34.3234,23.8532,61.1765,,,,,,,,
virtualhome,goal_interpretation,llama-3-8b-chat,output/virtualhome/evaluate_results/goal_interpretation/llama-3-8b-chat/summary.json,19.419,11.0627,79.375,22.5839,15.4524,41.9395,9.713,14.0127,7.4324,,,,,,30.9764,21.6471,54.4379,,,,,,,,
virtualhome,goal_interpretation,mistral-large-2402,output/virtualhome/evaluate_results/goal_interpretation/mistral-large-2402/summary.json,19.6816,11.1475,83.9506,26.78,17.4895,57.125,29.8137,23.6686,40.2685,,,,,,32.7896,22.6862,59.1176,,,,,,,,
virtualhome,goal_interpretation,mixtral-8x22b-instruct-v0.1,output/virtualhome/evaluate_results/goal_interpretation/mixtral-8x22b-instruct-v0.1/summary.json,20.0364,11.2016,94.8276,26.5573,17.3913,56.1514,27.52,22.1649,36.2869,,,,,,33.4029,23.6337,56.9395,,,,,,,,
virtualhome,goal_interpretation,o1-mini-2024-09-12,output/virtualhome/evaluate_results/goal_interpretation/o1-mini-2024-09-12/summary.json,21.7751,13.47,56.7901,31.1787,22.4044,51.25,34.5428,30.4348,39.9329,,,,,,36.3139,26.3228,58.5294,,,,,,,,
