model,task,file_id,goal_f1,task_success,goal_success,execution_success,failure_type,raw_failure_text
gpt-4o-2024-05-13,Turn on light,125_2,1.0,,,,relation_grounding,", file 125_2 has hallucination error"
gpt-4o-2024-05-13,Turn on light,311_1,1.0,,,,none,
gpt-4o-2024-05-13,Turn on light,443_2,1.0,,,,none,
gpt-4o-2024-05-13,Relax on sofa,332_2,1.0,,,,none,
gpt-4o-2024-05-13,Pick up phone,99_2,1.0,,,,none,
gpt-4o-2024-05-13,Write an email,115_2,0.8,,,,none,
gpt-4o-2024-05-13,Pet cat,137_2,0.8,,,,none,
gpt-4o-2024-05-13,Pet cat,203_2,0.8,,,,none,
gpt-4o-2024-05-13,Drink,156_1,0.8,,,,none,
gpt-4o-2024-05-13,Drink,510_1,0.8,,,,relation_grounding,"2026-04-22 14:40:29 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:29 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:29 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'HOLDS_RH', 'to_id': 1001}"
gpt-4o-2024-05-13,Read book,163_1,0.8,,,,relation_grounding,"2026-04-22 14:40:32 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:32 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:32 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'HOLDS_RH', 'to_id': 1000}"
gpt-4o-2024-05-13,Read book,221_2,0.8,,,,none,
gpt-4o-2024-05-13,Read book,544_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,137_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,300_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,379_2,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,3_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,416_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,442_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,563_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,570_1,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,793_2,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,798_2,0.8,,,,none,
gpt-4o-2024-05-13,Relax on sofa,96_1,0.8,,,,none,
gpt-4o-2024-05-13,Wash dishes by hand,397_1,0.8,,,,none,
gpt-4o-2024-05-13,Watch TV,548_2,0.75,,,,relation_grounding,"2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:26 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 248}"
gpt-4o-2024-05-13,Turn on light,150_2,0.6667,,,,none,
gpt-4o-2024-05-13,Turn on light,331_2,0.6667,,,,none,
gpt-4o-2024-05-13,Write an email,699_1,0.6667,,,,none,
gpt-4o-2024-05-13,Write an email,996_2,0.6667,,,,other,"2026-04-22 14:40:07 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 1001, 'class_name': 'computer', 'state': 'ON'}"
gpt-4o-2024-05-13,Change TV channel,960_2,0.6667,,,,other,2026-04-22 14:40:09 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 960_2 did not pass gold test
gpt-4o-2024-05-13,Work,153_2,0.6667,,,,planning_order,"2026-04-22 14:40:09 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:09 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:09 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 417, 'class_name': 'computer', 'state': 'ON'}"
gpt-4o-2024-05-13,Pet cat,220_2,0.6667,,,,none,
gpt-4o-2024-05-13,Pet cat,469_2,0.6667,,,,none,
gpt-4o-2024-05-13,Browse internet,71_2,0.6667,,,,other,2026-04-22 14:40:21 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 71_2 did not pass gold test
gpt-4o-2024-05-13,Listen to music,173_1,0.6667,,,,relation_grounding,", file 173_1 has hallucination error"
gpt-4o-2024-05-13,Watch TV,134_1,0.6667,,,,relation_grounding,", file 134_1 has hallucination error"
gpt-4o-2024-05-13,Watch TV,342_2,0.6667,,,,relation_grounding,"2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:25 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Drink,589_1,0.6667,,,,none,
gpt-4o-2024-05-13,Read book,241_2,0.6667,,,,relation_grounding,"2026-04-22 14:40:33 - virtualhome_eval.simulation.evolving_graph.execution - Check walk failed: <home_office> (319) | 2026-04-22 14:40:33 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:33 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:33 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'HOLDS_RH', 'to_id': 1000}"
gpt-4o-2024-05-13,Read book,86_1,0.6667,,,,relation_grounding,"2026-04-22 14:40:34 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:34 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:34 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'HOLDS_RH', 'to_id': 1000}"
gpt-4o-2024-05-13,Relax on sofa,456_2,0.6667,,,,none,
gpt-4o-2024-05-13,Relax on sofa,490_1,0.6667,,,,none,
gpt-4o-2024-05-13,Relax on sofa,762_2,0.6667,,,,none,
gpt-4o-2024-05-13,Change TV channel,188_1,0.6,,,,other,2026-04-22 14:40:09 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 188_1 did not pass gold test
